"Radon_Level","Blue_Earth","Clay","Goodhue","Basement"
5,1,0,0,1
13,1,0,0,1
7.2,1,0,0,1
6.8,1,0,0,1
12.8,1,0,0,1
5.8,1,0,0,0
9.5,1,0,0,1
6,1,0,0,1
3.8,1,0,0,1
14.3,1,0,0,0
1.8,1,0,0,1
6.9,1,0,0,1
4.7,1,0,0,1
9.5,1,0,0,1
0.9,0,1,0,0
12.9,0,1,0,1
2.6,0,1,0,1
3.5,0,1,0,0
26.6,0,1,0,1
1.5,0,1,0,1
13,0,1,0,1
8.8,0,1,0,1
19.5,0,1,0,1
2.5,0,1,0,0
9,0,1,0,1
13.1,0,1,0,1
3.6,0,1,0,1
6.9,0,1,0,0
14.3,0,0,1,1
6.9,0,0,1,0
7.6,0,0,1,1
9.8,0,0,1,0
2.6,0,0,1,1
43.5,0,0,1,1
4.9,0,0,1,1
3.5,0,0,1,1
4.8,0,0,1,1
5.6,0,0,1,1
3.5,0,0,1,1
3.9,0,0,1,1
6.7,0,0,1,1
